city,state_id,state_name,county_name,lat,lng
Delhi Hills,OH,Ohio,Hamilton,39.0871,-84.6178
Dellroy,OH,Ohio,Carroll,40.555,-81.1992
Delphos,OH,Ohio,Allen,40.8481,-84.3368
Delshire,OH,Ohio,Hamilton,39.0884,-84.595
Delta,OH,Ohio,Fulton,41.5753,-84.0084
Dennison,OH,Ohio,Tuscarawas,40.3972,-81.3275
Dent,OH,Ohio,Hamilton,39.1922,-84.6593
Derby,OH,Ohio,Pickaway,39.764,-83.2068
Deshler,OH,Ohio,Henry,41.2075,-83.9056
Devola,OH,Ohio,Washington,39.4739,-81.468
Dexter City,OH,Ohio,Noble,39.6592,-81.4739
Dillonvale,OH,Ohio,Hamilton,39.2173,-84.403
Dola,OH,Ohio,Hardin,40.7848,-83.6989
Donnelsville,OH,Ohio,Clark,39.9154,-83.9429
Dover,OH,Ohio,Tuscarawas,40.5302,-81.4805
Doylestown,OH,Ohio,Wayne,40.97,-81.6954
Dresden,OH,Ohio,Muskingum,40.122,-82.013
Drexel,OH,Ohio,Montgomery,39.7382,-84.2931
Dry Ridge,OH,Ohio,Hamilton,39.2587,-84.6339
Dry Run,OH,Ohio,Hamilton,39.1049,-84.3312
Dublin,OH,Ohio,Franklin,40.1112,-83.1454
Duncan Falls,OH,Ohio,Muskingum,39.8777,-81.9112
Dundee,OH,Ohio,Tuscarawas,40.5868,-81.6069
Dunkirk,OH,Ohio,Hardin,40.788,-83.6429
Dunlap,OH,Ohio,Hamilton,39.2908,-84.6303
Dupont,OH,Ohio,Putnam,41.0547,-84.3011
East Canton,OH,Ohio,Stark,40.7889,-81.285
East Cleveland,OH,Ohio,Cuyahoga,41.5318,-81.5795
East Fultonham,OH,Ohio,Muskingum,39.8486,-82.1207
East Liberty,OH,Ohio,Logan,40.3339,-83.585
East Liverpool,OH,Ohio,Columbiana,40.6333,-80.5677
East Palestine,OH,Ohio,Columbiana,40.8392,-80.5467
East Rochester,OH,Ohio,Columbiana,40.7495,-81.04
East Sparta,OH,Ohio,Stark,40.6635,-81.3643
East Springfield,OH,Ohio,Jefferson,40.4473,-80.8601
Eastlake,OH,Ohio,Lake,41.6581,-81.4323
Eaton,OH,Ohio,Preble,39.7506,-84.6343
Eaton Estates,OH,Ohio,Lorain,41.3061,-82.0114
Edgerton,OH,Ohio,Williams,41.4494,-84.75
Edgewood,OH,Ohio,Ashtabula,41.8783,-80.7461
Edison,OH,Ohio,Morrow,40.5583,-82.8632
Edon,OH,Ohio,Williams,41.5562,-84.7693
Eldorado,OH,Ohio,Preble,39.9043,-84.6752
Elgin,OH,Ohio,Van Wert,40.7428,-84.4759
Elida,OH,Ohio,Allen,40.7868,-84.1995
Elizabethtown,OH,Ohio,Hamilton,39.1621,-84.8037
Elmore,OH,Ohio,Ottawa,41.4707,-83.2912
Elmwood Place,OH,Ohio,Hamilton,39.1855,-84.489
Elyria,OH,Ohio,Lorain,41.3761,-82.1063
Empire,OH,Ohio,Jefferson,40.5117,-80.6261
Englewood,OH,Ohio,Montgomery,39.8644,-84.3071
Enon,OH,Ohio,Clark,39.865,-83.9331
Etna,OH,Ohio,Licking,39.9542,-82.688
Euclid,OH,Ohio,Cuyahoga,41.5904,-81.5188
Evendale,OH,Ohio,Hamilton,39.2509,-84.4268
Fairborn,OH,Ohio,Greene,39.801,-84.0093
Fairfax,OH,Ohio,Hamilton,39.1432,-84.3972
Fairfield,OH,Ohio,Butler,39.3301,-84.5409
Fairfield Beach,OH,Ohio,Fairfield,39.9183,-82.4791
Fairlawn,OH,Ohio,Summit,41.127,-81.6215
Fairport Harbor,OH,Ohio,Lake,41.7477,-81.2731
Fairview,OH,Ohio,Guernsey,40.0573,-81.235
Fairview Park,OH,Ohio,Cuyahoga,41.4419,-81.853
Farmersville,OH,Ohio,Montgomery,39.6787,-84.4275
Fayette,OH,Ohio,Fulton,41.6727,-84.3284
Fayetteville,OH,Ohio,Brown,39.1848,-83.9317
Felicity,OH,Ohio,Clermont,38.839,-84.0985
Findlay,OH,Ohio,Hancock,41.0467,-83.6379
Finneytown,OH,Ohio,Hamilton,39.2159,-84.5145
Five Points,OH,Ohio,Warren,39.5595,-84.1867
Flat Rock,OH,Ohio,Seneca,41.2355,-82.8592
Fletcher,OH,Ohio,Miami,40.1419,-84.1119
Florida,OH,Ohio,Henry,41.3237,-84.2004
Flushing,OH,Ohio,Belmont,40.1481,-81.0644
Forest,OH,Ohio,Hardin,40.8051,-83.5116
Forest Park,OH,Ohio,Hamilton,39.2861,-84.5259
Forestville,OH,Ohio,Hamilton,39.0711,-84.3389
Fort Jennings,OH,Ohio,Putnam,40.9067,-84.2997
Fort Loramie,OH,Ohio,Shelby,40.3442,-84.3696
Fort Recovery,OH,Ohio,Mercer,40.4112,-84.7761
Fort Seneca,OH,Ohio,Seneca,41.2042,-83.168
Fort Shawnee,OH,Ohio,Allen,40.6814,-84.1487
Fostoria,OH,Ohio,Seneca,41.1601,-83.412
Four Bridges,OH,Ohio,Butler,39.3828,-84.3542
Frankfort,OH,Ohio,Ross,39.4069,-83.1842
Franklin,OH,Ohio,Warren,39.5538,-84.295
Franklin Furnace,OH,Ohio,Scioto,38.6115,-82.8439
Frazeysburg,OH,Ohio,Muskingum,40.1191,-82.1177
Fredericksburg,OH,Ohio,Wayne,40.677,-81.8697
Fredericktown,OH,Ohio,Knox,40.4784,-82.5485
Freeport,OH,Ohio,Harrison,40.2109,-81.2686
Fremont,OH,Ohio,Sandusky,41.3536,-83.1148
Fresno,OH,Ohio,Coshocton,40.3308,-81.7386
Friendship,OH,Ohio,Scioto,38.698,-83.1004
Fruit Hill,OH,Ohio,Hamilton,39.0699,-84.367
Fulton,OH,Ohio,Morrow,40.4629,-82.828
Fultonham,OH,Ohio,Muskingum,39.8557,-82.1408
Gahanna,OH,Ohio,Franklin,40.0251,-82.8637
Galena,OH,Ohio,Delaware,40.2218,-82.8812
Galion,OH,Ohio,Crawford,40.7385,-82.7792
Gallipolis,OH,Ohio,Gallia,38.8186,-82.1934
Gambier,OH,Ohio,Knox,40.3764,-82.3949
Gann,OH,Ohio,Knox,40.4693,-82.1913
Garfield Heights,OH,Ohio,Cuyahoga,41.4199,-81.6038
Garrettsville,OH,Ohio,Portage,41.2843,-81.0933
Gates Mills,OH,Ohio,Cuyahoga,41.5316,-81.41
Geneva,OH,Ohio,Ashtabula,41.8006,-80.9461
Geneva-on-the-Lake,OH,Ohio,Ashtabula,41.8562,-80.9493
Genoa,OH,Ohio,Ottawa,41.5204,-83.3619
Georgetown,OH,Ohio,Brown,38.8683,-83.8993
Germantown,OH,Ohio,Montgomery,39.6324,-84.3645
Gettysburg,OH,Ohio,Darke,40.1157,-84.4966
Gibsonburg,OH,Ohio,Sandusky,41.3875,-83.3216
Gilboa,OH,Ohio,Putnam,41.0186,-83.9214
Girard,OH,Ohio,Trumbull,41.1666,-80.6963
Glandorf,OH,Ohio,Putnam,41.0279,-84.0791
Glencoe,OH,Ohio,Belmont,40.0106,-80.8815
Glendale,OH,Ohio,Hamilton,39.2707,-84.4586
Glenford,OH,Ohio,Perry,39.8863,-82.3202
Glenmont,OH,Ohio,Holmes,40.519,-82.0926
Glenmoor,OH,Ohio,Columbiana,40.6639,-80.6133
Glenwillow,OH,Ohio,Cuyahoga,41.3606,-81.4728
Gloria Glens Park,OH,Ohio,Medina,41.0577,-81.901
Glouster,OH,Ohio,Athens,39.5023,-82.0842
Gnadenhutten,OH,Ohio,Tuscarawas,40.3594,-81.4293
Golf Manor,OH,Ohio,Hamilton,39.1878,-84.4469
Good Hope,OH,Ohio,Fayette,39.4467,-83.3594
Gordon,OH,Ohio,Darke,39.9303,-84.5091
Goshen,OH,Ohio,Clermont,39.2325,-84.1532
Grafton,OH,Ohio,Lorain,41.2808,-82.0367
Grand Rapids,OH,Ohio,Wood,41.4078,-83.868
Grand River,OH,Ohio,Lake,41.7418,-81.2846
Grandview,OH,Ohio,Hamilton,39.1922,-84.7245
Grandview Heights,OH,Ohio,Franklin,39.9793,-83.0408
Granville,OH,Ohio,Licking,40.0648,-82.5023
Granville South,OH,Ohio,Licking,40.0521,-82.5415
Gratiot,OH,Ohio,Licking,39.9515,-82.2167
Gratis,OH,Ohio,Preble,39.6484,-84.5286
Graysville,OH,Ohio,Monroe,39.6633,-81.1746
Green,OH,Ohio,Summit,40.9483,-81.4757
Green Camp,OH,Ohio,Marion,40.5321,-83.2076
Green Meadows,OH,Ohio,Clark,39.8672,-83.9454
Green Springs,OH,Ohio,Sandusky,41.257,-83.0529
Greenfield,OH,Ohio,Highland,39.3535,-83.3884
Greenhills,OH,Ohio,Hamilton,39.267,-84.5194
Greentown,OH,Ohio,Stark,40.9274,-81.402
Greenville,OH,Ohio,Darke,40.1043,-84.6209
Greenwich,OH,Ohio,Huron,41.0318,-82.5198
Groesbeck,OH,Ohio,Hamilton,39.2292,-84.5964
Grove City,OH,Ohio,Franklin,39.8659,-83.0694
Groveport,OH,Ohio,Franklin,39.8585,-82.8978
Grover Hill,OH,Ohio,Paulding,41.019,-84.4775
